CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.200695493,1.47543403,8.009011135,0.13935554,0.68492409,1.272913158,0.078105178
1.221238159,1.382646579,8.38145215,0.138170717,0.670022186,1.271086565,0.081482356
1.182807578,1.38487952,7.414344079,0.139563225,0.697143021,1.203197845,0.077088925
1.17341967,1.48978363,7.600633473,0.138634246,0.682885078,1.25035271,0.077220396
1.225859112,1.388205087,7.729625307,0.138953379,0.693468144,1.198333338,0.074570071
1.17503099,1.46955546,7.763678847,0.133196507,0.714905698,1.173601045,0.083587999
1.174310717,1.533914837,7.639998422,0.138927303,0.703198545,1.199981584,0.07824925
1.164443126,1.435865347,7.162975486,0.136693747,0.726177382,1.143985938,0.080961182
1.183654759,1.316035753,7.002268314,0.1409074,0.742001017,1.069072225,0.091778293
1.162042374,1.529873693,7.372811126,0.135197655,0.718141596,1.159372298,0.087964988
1.176006896,1.652734733,7.399722563,0.141564799,0.72660165,1.268599668,0.083603709
1.196835415,1.379083728,7.38648974,0.13619236,0.738107616,1.136332776,0.093781635
1.183760408,1.580981673,7.985640348,0.135456501,0.698995249,1.193170855,0.075256002
1.18521958,1.412401009,7.728330344,0.137946074,0.68966506,1.218173863,0.086098905
1.154401715,1.63682824,7.545531992,0.138493481,0.712822484,1.269658439,0.083771499
1.14265493,1.796111799,8.184284848,0.139167806,0.685016006,1.321105472,0.068800999
1.200269071,1.465265826,8.196716836,0.133818336,0.683964227,1.263009052,0.076287274
1.158957153,1.497600356,7.18820811,0.136989726,0.734772439,1.167198293,0.064156812
1.191318135,1.584861857,8.109117134,0.13785569,0.701776409,1.216928149,0.067257549
1.196832886,1.266948612,7.162381035,0.141578557,0.722737231,1.144094921,0.092028592
1.160403429,1.456029585,7.418828758,0.13527983,0.710551637,1.180155105,0.093915886
1.203862543,1.468832586,7.506767312,0.13994939,0.6993019,1.238808646,0.074582645
1.205194542,1.420267922,7.638372404,0.134914982,0.695774334,1.212783493,0.080440907
1.192791141,1.480341147,7.828549168,0.137002275,0.703509529,1.200958706,0.073482713
1.159481445,1.613970958,7.191595053,0.141419415,0.736242837,1.215447595,0.076537847
1.214451119,1.412451603,7.957489048,0.139072958,0.68444074,1.251512344,0.075911301
1.149633537,1.538569196,7.47725046,0.13548053,0.706747315,1.195836277,0.089527084
1.174745248,1.414614934,7.126929059,0.139819302,0.731813839,1.129787944,0.091396762
1.144033524,1.435405799,7.191559538,0.137161334,0.723708429,1.137892815,0.077856542
1.115607981,1.606725152,7.174440562,0.139007384,0.738054407,1.155291118,0.070355543
1.180022443,1.562321405,7.529468063,0.139337406,0.72204548,1.16162561,0.078645947
1.153503392,1.489059447,7.16865273,0.13917168,0.735761598,1.170119928,0.092105371
1.17174517,1.357832154,7.372447139,0.135445942,0.728827793,1.127039987,0.080012997
1.19272393,1.529733265,7.74375151,0.141235856,0.704549223,1.276993837,0.076253319
1.186700166,1.39841325,7.341549295,0.135928319,0.721358104,1.155738904,0.089987364
1.156032581,1.514058091,7.280071336,0.13581816,0.729467414,1.163792439,0.069407148
1.205629717,1.428060174,7.796754203,0.138961568,0.691975877,1.227107744,0.080894752
