CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.167548014,1.522711046,7.688522687,0.136375179,0.711065747,1.206622155,0.079697674
1.18544699,1.560886323,8.040294207,0.135289429,0.693211803,1.273334023,0.075406405
1.16636142,1.539929909,7.687792031,0.137755143,0.697276032,1.230534617,0.09081569
1.186275928,1.437507513,7.696947141,0.13389519,0.707256188,1.169810885,0.074743174
1.158141754,1.599755593,7.434052873,0.136236258,0.725899477,1.175028122,0.080207409
1.186414451,1.515706819,7.789753871,0.139390366,0.706729977,1.228326011,0.084951113
1.240894937,1.232824932,7.226300969,0.14175507,0.690979554,1.169883887,0.102065662
1.170806274,1.439319551,7.889671433,0.133208276,0.702853482,1.177398397,0.078875649
1.125791957,1.695563388,7.435331819,0.140886171,0.709212967,1.207624733,0.078536972
1.187956269,1.399618067,7.880082109,0.128115669,0.717096878,1.059231027,0.089302282
1.170121671,1.341295468,7.226487742,0.130959568,0.712624248,1.077290566,0.079591929
1.152585219,1.443738737,7.481231313,0.137637672,0.68969989,1.200830133,0.077327636
1.192349988,1.586911285,7.538692606,0.139221492,0.700862882,1.278149997,0.081971473
1.155763236,1.47643247,7.613549279,0.140553152,0.687003974,1.176154285,0.079191371
1.189265444,1.354118491,7.458183502,0.133150247,0.71832566,1.110744714,0.087364328
1.163984362,1.51983104,7.547812063,0.130263892,0.713887629,1.160389663,0.078496355
1.178041516,1.360581676,7.731972192,0.13459946,0.700974482,1.164784546,0.077699141
1.198027481,1.331065241,7.980870555,0.133794517,0.680201914,1.199621187,0.080434319
1.190566523,1.476487621,8.137103536,0.130784158,0.683821763,1.228100707,0.075708381
1.178882722,1.451651932,7.863542091,0.131729561,0.706533186,1.189745732,0.067844257
1.165833856,1.435584511,6.927159147,0.146065646,0.711061487,1.210267469,0.074976313
1.180945955,1.387689941,7.823457823,0.129818186,0.711833006,1.164526507,0.076981019
1.147796483,1.611902377,7.799384617,0.134230888,0.708789217,1.206775743,0.069430425
1.145002343,1.623033977,7.468917066,0.138377773,0.722552403,1.23273329,0.067391207
1.158467292,1.451629591,7.305698402,0.135327609,0.729254321,1.161351834,0.078380597
1.111697113,1.612402102,6.820718453,0.141067692,0.744606148,1.170653434,0.07906882
1.133162842,1.570482097,7.484659816,0.137548415,0.718905629,1.202892673,0.081185499
1.140616584,1.602653465,7.731295682,0.141429389,0.704336194,1.179278674,0.079873205
1.112513215,1.684159387,7.143663715,0.144106019,0.720235764,1.255094791,0.076896895
1.149704964,1.46596733,7.108777001,0.139561103,0.728081338,1.147189687,0.073802247
1.14708484,1.454960235,7.457118078,0.132059539,0.752638725,1.09031972,0.082149695
1.169613633,1.479213531,7.590890589,0.139353079,0.708072371,1.265845256,0.06960011
1.136933255,1.528946179,6.842234544,0.142005924,0.743580012,1.166623413,0.080401518
1.151633324,1.483580955,6.981553806,0.140797092,0.723382408,1.190102329,0.075288887
1.160048842,1.485802617,7.133508784,0.14401202,0.700624679,1.203808154,0.08639161
1.151444153,1.504381671,6.818983078,0.14070844,0.734542429,1.15774752,0.082063621
1.167618645,1.463766185,7.132142322,0.138556193,0.716341151,1.15253412,0.077101406
1.157891731,1.45008287,7.282292944,0.136114169,0.731647881,1.134730651,0.084906248
1.186162469,1.548153649,7.956739485,0.132373473,0.716905142,1.143920308,0.074705191
1.155204498,1.599015617,7.383921788,0.136026865,0.725815141,1.198090274,0.063845757
1.164558618,1.456960265,6.981809623,0.144624229,0.733373611,1.170744391,0.079310518
1.156924576,1.507923219,7.197285348,0.141537044,0.73070932,1.153154206,0.077840695
1.148325025,1.386510402,7.453839832,0.128745223,0.726038425,1.077173624,0.083436804
1.148340368,1.525772861,6.864188469,0.141415866,0.735715371,1.166937483,0.087849007
1.124970966,1.607676756,7.614816338,0.13236077,0.720607356,1.185604314,0.072346557
1.2135708,1.335783688,7.651850259,0.138856206,0.681683067,1.231407877,0.095273753
1.171350238,1.705043437,8.055368891,0.137550355,0.699410744,1.263489576,0.073194343
1.165608543,1.349450692,7.217468945,0.134018104,0.732183838,1.110147849,0.08084138
1.140595273,1.540569473,6.988355853,0.137332604,0.741266249,1.160474945,0.08311858
1.130798451,1.597680429,7.285057301,0.135895872,0.726910939,1.19560106,0.088608287
1.163825736,1.603220458,7.214352572,0.145639326,0.707440457,1.271087924,0.078306479
